user_id,product_id,cat_0,cat_1,cat_2,cat_3
543376004,1004566,electronics,smartphone,,
543376004,1004565,electronics,smartphone,,
516380090,1004767,electronics,smartphone,,
516380090,1005160,electronics,smartphone,,
516380090,1004839,electronics,smartphone,,
516380090,1004838,electronics,smartphone,,
516380090,1005239,electronics,smartphone,,
516380090,1004856,electronics,smartphone,,
568417040,100015660,accessories,bag,,
571688184,1004766,electronics,smartphone,,
571688184,1004436,electronics,smartphone,,
571688184,1004426,electronics,smartphone,,
571688184,1004209,electronics,smartphone,,
571688184,1005100,electronics,smartphone,,
571688184,1005168,electronics,smartphone,,
571688184,1005017,electronics,smartphone,,
571688184,1005212,electronics,smartphone,,
571688184,1004856,electronics,smartphone,,
571688184,1004833,electronics,smartphone,,
568417040,62100026,apparel,costume,,
560875104,5800809,electronics,audio,subwoofer,
560875104,1005115,electronics,smartphone,,
571688184,1004836,electronics,smartphone,,
568417040,28721414,apparel,shoes,,
560875104,1005205,electronics,smartphone,,
560875104,1005175,electronics,smartphone,,
560875104,1004767,electronics,smartphone,,
560875104,1005014,electronics,smartphone,,
543376004,1004785,electronics,smartphone,,
543376004,17800089,computers,desktop,,
543376004,1004836,construction,tools,light,
568417040,19100234,construction,tools,light,
560875104,1004873,construction,tools,light,
560875104,1004768,construction,tools,light,
543376004,1005205,construction,tools,light,
543376004,1004838,construction,tools,light,
543376004,1004886,construction,tools,light,
543376004,1005236,construction,tools,light,
584658373,1005105,construction,tools,light,
584658373,5100816,apparel,shoes,,
584658373,1005106,construction,tools,light,
584658373,1005174,appliances,kitchen,refrigerators,
516380090,1500440,kids,toys,,
584658373,1005132,construction,tools,light,
584658373,1004870,construction,tools,light,
584658373,1005212,construction,tools,light,
584658373,1004766,construction,tools,light,
568417040,30100079,electronics,audio,acoustic,
516380090,1005161,construction,tools,light,
584658373,1004227,construction,tools,light,
568417040,12300510,appliances,kitchen,hood,
584658373,1004767,construction,tools,light,
568417040,100018470,sport,trainer,,
584658373,1005169,construction,tools,light,
543376004,6100256,apparel,shoes,ballet_shoes,
543376004,6100198,apparel,shoes,ballet_shoes,
568417040,52900150,sport,trainer,,
568417040,100018705,apparel,tshirt,,
568417040,12301097,appliances,kitchen,hood,
584658373,4804056,sport,bicycle,,
584658373,1005115,construction,tools,light,
584658373,1005129,construction,tools,light,
584658373,1005186,appliances,kitchen,refrigerators,
584658373,1004226,construction,tools,light,
584658373,1005100,construction,tools,light,
584658373,100068488,construction,tools,light,
584658373,1005098,construction,tools,light,
584658373,4804055,sport,bicycle,,
584658373,1005211,construction,tools,light,
